date,value,month
2016-12-09,1078359.1444366425,2016-12
2016-12-12,1078416.1444366423,2016-12
2016-12-13,1078473.1444366425,2016-12
2016-12-14,1078473.1444366425,2016-12
2016-12-15,1077570.6444366425,2016-12
2016-12-16,1077969.6444366425,2016-12
2016-12-19,1078264.1444366425,2016-12
2016-12-20,1078644.1444366425,2016-12
2016-12-21,1078767.6444366423,2016-12
2016-12-22,1078995.6444366425,2016-12
2016-12-23,1079195.1444366425,2016-12
2016-12-26,1079128.6444366425,2016-12
2016-12-27,1078919.6444366425,2016-12
2016-12-28,1079128.6444366425,2016-12
2016-12-29,1079784.1444366423,2016-12
2016-12-30,1080952.6444366425,2016-12
2017-01-03,1079974.1444366425,2017-01
2017-01-04,1079993.1444366425,2017-01
2017-01-05,1079993.1444366425,2017-01
2017-01-06,1080259.1444366425,2017-01
2017-01-09,1080287.6444366425,2017-01
2017-01-10,1080468.1444366425,2017-01
2017-01-11,1080506.1444366425,2017-01
2017-01-12,1080468.1444366425,2017-01
2017-01-13,1080610.6444366425,2017-01
2017-01-16,1080620.1444366425,2017-01
2017-01-17,1080534.6444366425,2017-01
2017-01-18,1080591.6444366425,2017-01
2017-01-19,1080420.6444366425,2017-01
2017-01-20,1080819.6444366425,2017-01
2017-01-23,1081171.1444366425,2017-01
2017-01-24,1081304.1444366425,2017-01
2017-01-25,1081712.6444366425,2017-01
2017-01-26,1081940.6444366425,2017-01
2017-02-03,1082159.1444366425,2017-02
2017-02-06,1082377.6444366425,2017-02
2017-02-07,1082700.6444366425,2017-02
2017-02-08,1082681.6444366425,2017-02
2017-02-09,1082643.6444366425,2017-02
2017-02-10,1082710.1444366425,2017-02
2017-02-13,1082767.1444366425,2017-02
2017-02-14,1082738.6444366425,2017-02
2017-02-15,1082824.1444366425,2017-02
2017-02-16,1082234.9803355224,2017-02
2017-02-17,1083986.5771530229,2017-02
2017-02-20,1082658.1771530227,2017-02
2017-02-21,1083863.2771530226,2017-02
2017-02-22,1083768.1771530225,2017-02
2017-02-23,1084674.9771530228,2017-02
2017-02-24,1091867.9771530228,2017-02
2017-02-27,1093753.1771530227,2017-02
2017-02-28,1091786.9771530228,2017-02
2017-03-01,1088067.177153023,2017-03
2017-03-02,1088751.9771530228,2017-03
2017-03-03,1084733.8771530227,2017-03
2017-03-06,1085159.0771530226,2017-03
2017-03-07,1083272.7771530226,2017-03
2017-03-08,1080942.4771530228,2017-03
2017-03-09,1079278.1771530227,2017-03
2017-03-10,1078007.4350321027,2017-03
2017-03-13,1076659.7718302428,2017-03
2017-03-14,1076565.7718302426,2017-03
2017-03-15,1076528.1718302427,2017-03
2017-03-16,1076283.7718302426,2017-03
2017-03-17,1076537.5718302426,2017-03
2017-03-20,1076781.9718302425,2017-03
2017-03-21,1076857.1718302427,2017-03
2017-03-22,1077176.7718302426,2017-03
2017-03-23,1076604.1483153626,2017-03
2017-03-24,1074795.8898969027,2017-03
2017-03-27,1077906.5983042228,2017-03
2017-03-28,1076146.800909983,2017-03
2017-03-29,1074748.300909983,2017-03
2017-03-30,1074457.500909983,2017-03
2017-03-31,1070286.1009099828,2017-03
2017-04-05,1076335.1009099828,2017-04
2017-04-06,1076884.4009099829,2017-04
2017-04-07,1081849.5009099827,2017-04
2017-04-10,1079794.200909983,2017-04
2017-04-11,1081117.800909983,2017-04
2017-04-12,1086425.1009099828,2017-04
2017-04-13,1088583.800909983,2017-04
2017-04-14,1089836.9009099829,2017-04
2017-04-17,1088541.800909983,2017-04
2017-04-18,1086857.200909983,2017-04
2017-04-19,1086514.700909983,2017-04
2017-04-20,1085632.6009099828,2017-04
2017-04-21,1084037.300909983,2017-04
2017-04-24,1079809.200909983,2017-04
2017-04-25,1080165.800909983,2017-04
2017-04-26,1077730.4009099826,2017-04
2017-04-27,1079349.500909983,2017-04
2017-04-28,1078867.1829709427,2017-04
2017-05-02,1078390.8676429829,2017-05
2017-05-03,1078494.2676429832,2017-05
2017-05-04,1078616.467642983,2017-05
2017-05-05,1078860.8676429829,2017-05
2017-05-08,1079011.2676429828,2017-05
2017-05-09,1079312.067642983,2017-05
2017-05-10,1079265.067642983,2017-05
2017-05-11,1079283.8676429829,2017-05
2017-05-12,1079509.467642983,2017-05
2017-05-15,1079622.2676429828,2017-05
2017-05-16,1079594.067642983,2017-05
2017-05-17,1079706.8676429829,2017-05
2017-05-18,1079904.2676429828,2017-05
2017-05-19,1079941.8676429829,2017-05
2017-05-22,1080233.2676429832,2017-05
2017-05-23,1080327.2676429828,2017-05
2017-05-24,1080440.067642983,2017-05
2017-05-25,1080646.8676429829,2017-05
2017-05-26,1080787.8676429829,2017-05
2017-05-31,1080787.8676429829,2017-05
2017-06-01,1081201.467642983,2017-06
2017-06-02,1081304.8676429829,2017-06
2017-06-05,1081521.067642983,2017-06
2017-06-06,1081671.467642983,2017-06
2017-06-07,1081756.067642983,2017-06
2017-06-08,1081887.6676429831,2017-06
2017-06-09,1081981.6676429831,2017-06
2017-06-12,1082188.467642983,2017-06
2017-06-13,1082254.2676429828,2017-06
2017-06-14,1082348.2676429828,2017-06
2017-06-15,1082470.467642983,2017-06
2017-06-16,1082602.067642983,2017-06
2017-06-19,1082790.067642983,2017-06
2017-06-20,1082743.067642983,2017-06
2017-06-21,1083025.067642983,2017-06
2017-06-22,1083222.467642983,2017-06
2017-06-23,1083429.2676429828,2017-06
2017-06-26,1083410.467642983,2017-06
2017-06-27,1083523.2676429828,2017-06
2017-06-28,1083626.6676429831,2017-06
